Sensor,gyroscope,gyroscope,gyroscope,gyroscope,accelerometer,accelerometer,accelerometer,accelerometer,rotation_vector,rotation_vector,rotation_vector,rotation_vector,linear_acceleration,linear_acceleration,linear_acceleration,linear_acceleration,gravity,gravity,gravity,gravity
Axis,x,y,z,w,x,y,z,w,x,y,z,w,x,y,z,w,x,y,z,w
3581523017952,0.08246681,0.01282817,-0.048258353,,3.6104562,6.1004257,-7.0700774,,0.48101765,-0.79489213,-0.18938126,0.3176527,0.4447925,0.15104008,0.0540905,,3.1656637,5.9493856,-7.124168,
3581539392491,0.07819075,-0.004276057,-0.08857546,,3.5362358,6.1411276,-7.3645644,,0.47545615,-0.7981325,-0.19129725,0.31675148,0.36170173,0.19276714,-0.24348497,,3.174534,5.9483604,-7.1210794,
3581563668760,0.029932396,-0.023823744,-0.10751228,,3.2393548,6.0262055,-7.469909,,0.47599193,-0.797872,-0.1911014,0.31672117,0.07141924,0.077613354,-0.34608936,,3.1679356,5.948592,-7.12382,
3581588332029,-0.027488936,-0.018325957,-0.09896017,,3.1148565,5.9663506,-7.2592196,,0.4768084,-0.7973635,-0.19187176,0.31630787,-0.037516356,0.0076379776,-0.13694763,,3.1523728,5.9587126,-7.122272,
3581612659029,-0.03604105,-0.037873644,-0.09712757,,2.942474,5.7628436,-7.2233067,,0.481664,-0.7943948,-0.1906441,0.31716207,-0.11431861,-0.14630175,-0.12637854,,3.1405895,5.966606,-7.12087,
3581628989337,-0.040317107,-0.017104227,-0.07147124,,2.8395233,5.7484784,-7.065289,,0.485969,-0.79173464,-0.18965942,0.3178362,-0.264333,-0.2260952,-0.031663895,,3.1277983,5.9745736,-7.119817,
3581645319337,-0.021380283,0.021380283,-0.03359759,,2.7724855,5.825093,-7.249643,,0.4896158,-0.789441,-0.1887582,0.31848028,-0.2926705,-0.21493435,0.05075407,,3.1202228,5.980172,-7.1184373,
3581661867452,-0.07880162,0.11362094,0.058643065,,2.789245,5.8466406,-7.675811,,0.4902411,-0.7890965,-0.18836935,0.31860256,-0.3304813,-0.13215351,-0.55599403,,3.1197262,5.978794,-7.119817,
3581686315683,-0.312763,0.17959438,0.15271631,,2.9113493,5.9998693,-7.9966335,,0.4887273,-0.78984696,-0.18871911,0.3188613,-0.21931458,0.019863605,-0.88264275,,3.1306639,5.9800057,-7.113991,
3581702693490,-0.453262,0.16065755,0.22113322,,3.2513258,6.1004257,-7.776367,,0.48392746,-0.7917678,-0.19093452,0.3200969,0.092722654,0.097197056,-0.6943579,,3.1586032,6.0032287,-7.0820093,
