Sensor,linear_acceleration,linear_acceleration,linear_acceleration,rotation_vector,rotation_vector,rotation_vector
Axis,x,y,z,x,y,z
656552552052532,-0.07277802,-0.11864874,0.1166172,-0.0091037415,0.001891646,0.3497767
656552568408109,-0.16803819,-0.19039418,0.11664772,-0.009170374,0.0019784526,0.35492083
656552584808801,-0.3462747,-0.17451489,0.095163345,-0.009322307,0.002073663,0.36041832
656552593003071,-0.3790251,-0.19930856,0.11676884,-0.009460431,0.0021670277,0.3632474
656552617519532,-0.3917113,-0.04350944,0.114684105,-0.010134267,0.0026932748,0.37240046
656552642068147,-0.09169428,-0.0703595,0.11263275,-0.010751486,0.0034398716,0.3822094
656552658463186,0.19002938,-0.21701008,0.10318184,-0.010985884,0.0036298777,0.38861713
656552683036993,-0.23384859,-0.051207006,0.09380722,-0.011354214,0.00390175,0.39784402
656552707585185,-0.20485,0.3724789,0.09153366,-0.011484811,0.0042890017,0.40771726
656552723919147,-0.29473734,0.36096758,0.07967663,-0.011542432,0.0047867727,0.41475356
656552748490878,0.44599104,0.24558929,0.06277561,-0.011245878,0.0050821817,0.4223515
656552756686031,0.3597992,0.111131765,0.081848145,-0.010880684,0.00513693,0.42945465
656552781243762,0.2598564,-0.105881706,0.0745039,-0.010495223,0.005134887,0.43900323
656552797609416,0.051661566,-0.013569608,0.105537415,-0.010317273,0.005042741,0.44461462
656552813967147,-0.037409037,-0.0165461,0.11506367,-0.010201293,0.005025675,0.4500925
656552838565954,-0.37093768,0.09046164,0.09111023,-0.01014575,0.0050768303,0.4585538
656552863084070,0.06701898,-0.1284077,0.10547161,-0.010096354,0.0051547056,0.46749958
656552879450493,0.26209927,-0.26935524,0.13898468,-0.010063725,0.0051910426,0.47322357
656552904034492,-0.026845992,-0.020614669,0.11505318,-0.0101187285,0.005136924,0.48141715
656552920382108,-0.15073144,0.023087353,0.119831085,-0.0100872,0.005143367,0.48705018
656552936743031,-0.03479016,-0.10031982,0.14377594,-0.010089177,0.005153814,0.49287605
656552961300723,0.19467157,-0.13443214,0.13422966,-0.010167209,0.0051532728,0.50183654
656552977640031,0.2302037,-0.17752114,0.10788536,-0.010193131,0.005065732,0.50782275
656553002238031,0.05589871,-0.18129076,0.10549927,-0.010343382,0.0047860476,0.5167162
656553018615454,-0.17005749,-0.12579714,0.124671936,-0.010476214,0.0045969603,0.5228749
656553043165800,-0.33920723,-0.07565747,0.0960331,-0.010716802,0.0045467806,0.53324497
656553067749723,-0.33896494,-0.105128706,0.127244,-0.010889325,0.004627846,0.54535013
656553100459799,-0.34944522,-0.25788295,0.11060333,-0.011055869,0.0048770867,0.56360775
656553125010569,0.22548199,-0.28693315,0.13706207,-0.011218167,0.0050357957,0.57331204
656553149592838,0.4986341,-0.016509905,0.10599232,-0.011397199,0.0050141034,0.5903307
656553165980915,0.48581493,-0.033208147,0.09163189,-0.011391874,0.005049513,0.59729666
656553182339299,0.7242453,0.024852924,0.12510777,-0.011327622,0.004975211,0.60355246
656553206884299,0.34314317,0.043762907,0.11299229,-0.011107136,0.004735209,0.61138433
656553231433530,0.21437027,-0.061586574,0.08649063,-0.0108426465,0.00444395,0.61845124
656553247820337,-0.054399148,0.078700334,0.15345573,-0.010733284,0.0042928844,0.62290984
656553272372491,-0.2752053,-0.0193583,0.10309219,-0.010584734,0.004158047,0.6295923
656553296922491,-0.36477137,-0.101091735,0.031312943,-0.01063777,0.0043018544,0.6364811
656553313318222,-0.21289648,-0.039809145,0.119957924,-0.010879293,0.0045570224,0.6455442
656553337856991,-0.08674553,-0.053153656,0.09134674,-0.011038994,0.0047552492,0.6513519
656553370580029,-1.0408605,0.5045996,0.07248402,-0.011306076,0.005270414,0.65449417
656553386949991,-1.7348871,0.6094816,0.118787766,-0.012055006,0.0072000427,0.6578262
656553411536644,1.8635584,-0.67228174,0.21724129,-0.011276359,0.00641821,0.6667204
656553427893414,1.3138655,-0.54879105,0.103857994,-0.010008208,0.0037914868,0.67028475
656553452440106,-0.3998268,0.39508587,0.11956215,-0.010008208,0.0037914868,0.67028475
656553476983913,-0.7380902,0.8749272,-0.06523514,-0.009229819,0.0025945767,0.6749928
656553493369529,-0.6408646,0.82226586,0.29188442,-0.0096648615,0.0042480677,0.6794555
656553509742259,-1.0310447,0.8794104,0.06442261,-0.009507085,0.0045228177,0.68541896
656553534291067,-0.3455897,-0.31997877,0.11009407,-0.009420806,0.00559327,0.69736797
656553558829375,-0.5194992,-1.0595921,0.067438126,-0.009922214,0.006634274,0.7115394
656553575206374,-0.60204625,-1.0249938,0.06289387,-0.010292379,0.006997445,0.7223811
656553599730490,0.02229087,-0.89531845,0.06318283,-0.0109140575,0.007106364,0.73999107
656553616079220,0.41602397,-0.7234667,0.13031769,-0.011229589,0.006964949,0.75134426
656553632454259,0.47178996,-0.5200272,0.13752842,-0.011440783,0.0067219143,0.7615317
656553657052066,1.016145,-0.47171223,0.091962814,-0.011583191,0.006165705,0.77398926
656553681608066,1.2876732,-0.43495327,0.12034416,-0.011289997,0.0051889974,0.78239137
656553697962605,0.7211193,-0.19417843,0.15837383,-0.010972556,0.0044520674,0.78598404
656553722512912,-0.59868336,0.044783358,0.122177124,-0.010609974,0.0036380964,0.790218
656553738903143,-0.72303176,0.05698455,0.14607334,-0.010544625,0.0035053177,0.7933134
656553763440605,-0.363343,-0.04784289,0.124575615,-0.010639464,0.0035742915,0.79892826
